식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D220-748000000-0460,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,31,,1.37,,,,2.05,,,,,,30,,,,,,,,,,1.14,,3,식품의약품안전처,,395g,커피마마,2,수집,2022-07-07,2025-12-29,1471000,식품의약품안전처
D220-748000000-0461,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,34,,1.41,,,,1.97,,,,,,15,,,,,,,,,,0.85,,3,식품의약품안전처,,355g,투썸플레이스,2,수집,2022-07-12,2025-12-29,1471000,식품의약품안전처
D220-748110000-0086,커피_카페 라떼 아이스(ICED) (S),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,23,,1.13,,,,1.13,,,,,,8,,,,,,,,,,0.57,,3,식품의약품안전처,,354ml,스무디킹,2,수집,2025-01-22,2025-12-29,1471000,식품의약품안전처
D220-748110000-0087,커피_카페 라떼 아이스(ICED) (Tall),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,33,,1.39,,,,2.22,,,,,,21,,,,,,,,,,0.83,,3,식품의약품안전처,,360ml,커피에반하다,2,수집,2024-12-24,2025-12-29,1471000,식품의약품안전처
D220-748000000-0436,커피_카페 라떼 아이스(ICED) (Tall),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,31,,1.69,,,,2.25,,,,,,21,,,,,,,,,,0.99,,3,식품의약품안전처,,355g,스타벅스,2,수집,2022-06-24,2025-12-29,1471000,식품의약품안전처
D220-748110000-0089,커피_카페 라떼 아이스(ICED) (V),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100g,38,,1.90,,,,2.41,,,,,,29,,,,,,,,,,1.38,,3,식품의약품안전처,,580g,파스쿠찌,2,수집,2024-12-17,2025-12-29,1471000,식품의약품안전처
D220-748110000-0088,커피_카페 라떼 아이스(ICED) (V),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,27,,1.65,,,,1.53,,,,,,17,,,,,,,,,,0.94,,3,식품의약품안전처,,576ml,드롭탑,2,수집,2025-02-25,2025-12-29,1471000,식품의약품안전처
D220-748110000-0090,커피_카페 라떼 아이스(ICED) (Venti),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,28,,1.11,,,,1.81,,,,,,17,,,,,,,,,,0.83,,3,식품의약품안전처,,720ml,커피에반하다,2,수집,2024-12-24,2025-12-29,1471000,식품의약품안전처
D220-748110000-0091,커피_카페 라떼 아이스(ICED) 빅사이즈,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100g,31,,1.36,,,,2.05,,,,,,24,,,,,,,,,,1.03,,3,식품의약품안전처,,610g,팔공티,2,수집,2025-01-21,2025-12-29,1471000,식품의약품안전처
D220-748110000-0092,커피_카페 라떼 아이스(ICED) 빽사이즈,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,29,,1.48,,,,1.80,,,,,,15,,,,,,,,,,0.95,,3,식품의약품안전처,,946ml,빽다방,2,수집,2025-02-04,2025-12-29,1471000,식품의약품안전처
